,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
42,RapidMiner GmbH,"RapidMiner GmbH is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. RapidMiner GmbH has       24 employees at this location and generates $2.55 million in sales (USD). (Sales figure is estimated). There are        3 companies in the RapidMiner GmbH corporate family.",24,$2.55 million,3,2.35
43,Gebhardt Fördertechnik GmbH,"Gebhardt Fördertechnik GmbH is located in Sinsheim, Baden-Württemberg, Germany and is part of the Other General Purpose Machinery Manufacturing Industry. Gebhardt Fördertechnik GmbH has      500 employees at this location and generates $53.50 million in sales (USD).  There are       13 companies in the Gebhardt Fördertechnik GmbH corporate family.",500,$53.50 million,3,2.48
47,Data Virtuality GmbH,"Data Virtuality GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Data Virtuality GmbH has       19 employees at this location and generates $1.90 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Data Virtuality GmbH corporate family.",19,$1.90 million,2,2.35
49,EXTOLL GmbH,"EXTOLL GmbH is located in Mannheim, Baden-Württemberg, Germany and is part of the Household Appliances and Electrical and Electronic Goods Merchant Wholesalers Industry. EXTOLL GmbH has       13 employees at this location and generates $826,125 in sales (USD). (Sales figure is estimated). ",13,"$826,125",1,2.48
50,Freie Universität Berlin,"Freie Universität Berlin is located in Berlin, Berlin, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Freie Universität Berlin has    4,550 employees at this location and generates $433.87 million in sales (USD). (Sales figure is modelled). There are       42 companies in the Freie Universität Berlin corporate family.","4,550",$433.87 million,2,2.23
51,Economic AI GmbH,"Economic AI GmbH is located in Regensburg, Bayern, Germany and is part of the Software Publishers Industry. Economic AI GmbH has        3 total employees across all of its locations and generates $312,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$312,000",3,2.35
52,IDS Imaging Development Systems GmbH,"IDS Imaging Development Systems GmbH is located in Obersulm, Baden-Württemberg, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry. IDS Imaging Development Systems GmbH has      200 employees at this location and generates $69.87 million in sales (USD). (Sales figure is estimated). There are        7 companies in the IDS Imaging Development Systems GmbH corporate family.",200,$69.87 million,1,2.35
53,Eberhard Karls Universität Tübingen,"Eberhard Karls Universität Tübingen is located in Tübingen, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Eberhard Karls Universität Tübingen has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are       36 companies in the Eberhard Karls Universität Tübingen corporate family.",,$4.77 million,4,2.23
56,insinno GmbH,"insinno GmbH is located in Heidelberg, Baden-Württemberg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. insinno GmbH has       12 employees at this location and generates $802,522 in sales (USD). (Sales figure is estimated). There are        3 companies in the insinno GmbH corporate family.",12,"$802,522",1,2.23
57,Universität Kassel,"Universität Kassel is located in Kassel, Hessen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Kassel has    2,000 employees at this location and generates $190.71 million in sales (USD). (Sales figure is modelled). There are       31 companies in the Universität Kassel corporate family.","2,000",$190.71 million,2,2.23
58,assono GmbH,"assono GmbH is located in Schwentinental, Schleswig-Holstein, Germany and is part of the Computer Systems Design and Related Services Industry. assono GmbH has       18 employees at this location and generates $1.45 million in sales (USD). (Sales figure is estimated). There are        2 companies in the assono GmbH corporate family.",18,$1.45 million,1,2.35
60,LandesCloud GmbH,"LandesCloud GmbH is located in Stuttgart, Baden-Württemberg, Germany and is part of the Other Telecommunications Industry. LandesCloud GmbH has        2 employees at this location and generates $209,296 in sales (USD). (Sales figure is modelled). There are        7 companies in the LandesCloud GmbH corporate family.",2,"$209,296",2,2.35
61,ENLYZE GmbH,"ENLYZE GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. ENLYZE GmbH has        4 total employees across all of its locations and generates $567,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$567,000",2,2.35
62,Latentine GmbH,"Latentine GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Latentine GmbH has        5 total employees across all of its locations and generates $300,946 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the Latentine GmbH corporate family.",5,"$300,946",3,2.35
63,interface projects GmbH,"interface projects GmbH is located in Dresden, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. interface projects GmbH has       37 employees at this location and generates $4.89 million in sales (USD). (Sales figure is estimated). There are        2 companies in the interface projects GmbH corporate family.",37,$4.89 million,2,2.23
64,Hiersemann Prozessautomation GmbH,"Hiersemann Prozessautomation GmbH is located in Chemnitz, Sachsen, Germany and is part of the Scientific Research and Development Services Industry. Hiersemann Prozessautomation GmbH has       24 employees at this location and generates $2.05 million in sales (USD). (Sales figure is estimated). ",24,$2.05 million,1,2.23
65,149 Technologies GmbH,"149 Technologies GmbH is located in Düsseldorf, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. 149 Technologies GmbH has        1 employees at this location and generates $165,225 in sales (USD). (Sales figure is estimated). ",1,"$165,225",1,2.35
66,CellmatiQ GmbH,"CellmatiQ GmbH is located in Hamburg, Hamburg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. CellmatiQ GmbH has        3 total employees across all of its locations and generates $316,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$316,000",2,2.23
67,Computomics GmbH,"Computomics GmbH is located in Tübingen, Baden-Württemberg, Germany and is part of the Office Administrative Services Industry. Computomics GmbH has       13 employees at this location and generates $289,144 in sales (USD). (Sales figure is estimated). ",13,"$289,144",3,2.23
68,paragon semvox GmbH,"paragon semvox GmbH is located in Kirkel, Saarland, Germany and is part of the Computer Systems Design and Related Services Industry. paragon semvox GmbH generates $4.74 million in sales (USD).  There are       24 companies in the paragon semvox GmbH corporate family.",,$4.74 million,3,2.35
69,TU Clausthal,"TU Clausthal is located in Clausthal-Zellerfeld, Niedersachsen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. TU Clausthal has    1,000 employees at this location and generates $4.00 million in sales (USD). (Sales figure is modelled). ","1,000",$4.00 million,2,2.23
70,Dialego AG,"Dialego AG is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Other Professional, Scientific, and Technical Services Industry. Dialego AG has       31 employees at this location and generates $2.64 million in sales (USD).  There are        3 companies in the Dialego AG corporate family.",31,$2.64 million,2,2.23
72,logarithmo GmbH & Co.KG,"logarithmo GmbH & Co.KG is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. logarithmo GmbH & Co.KG has        5 total employees across all of its locations and generates $182,928 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the logarithmo GmbH & Co.KG corporate family.",,"$182,928",,
74,Mainzer Stadtwerke AG,"Mainzer Stadtwerke AG is located in Mainz, Rheinland-Pfalz, Germany and is part of the Management of Companies and Enterprises Industry. Mainzer Stadtwerke AG has    1,350 total employees across all of its locations and generates $62.21 million in sales (USD).  There are    1,427 companies in the Mainzer Stadtwerke AG corporate family.",80,$62.21 million,2,2.73
76,Universität Duisburg-Essen,"Universität Duisburg-Essen is located in Duisburg, Nordrhein-Westfalen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Duisburg-Essen has    5,710 employees at this location and generates $544.49 million in sales (USD). (Sales figure is modelled). There are       26 companies in the Universität Duisburg-Essen corporate family.","5,710",$544.49 million,1,2.23
78,KPS AG,"KPS AG is located in Unterföhring, Bayern, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. KPS AG has      632 total employees across all of its locations and generates $196.37 million in sales (USD).  There are       23 companies in the KPS AG corporate family.",471,$196.37 million,2,2.23
80,Universität Augsburg,"Universität Augsburg is located in Augsburg, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Augsburg has    3,987 employees at this location and generates $380.19 million in sales (USD). (Sales figure is modelled). There are       11 companies in the Universität Augsburg corporate family.","3,987",$380.19 million,3,2.23
81,GESTALT Robotics GmbH,"GESTALT Robotics GmbH is located in Berlin, Berlin, Germany and is part of the Architectural, Engineering, and Related Services Industry. GESTALT Robotics GmbH has        4 total employees across all of its locations and generates $123,919 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the GESTALT Robotics GmbH corporate family.",,"$123,919",2,2.23
83,Ottobock SE & Co. KGaA,"Otto Bock HealthCare offers mobility options for disabled patients. The company makes and distributes prosthetic and orthotic equipment, including leg braces, electronic hands and shoulders, and cosmetic false limbs, as well as implantable neurostimulation devices. Otto Bock HealthCare also manufactures mobility and seating devices for disabled adults and children, including wheelchairs, positioning supports, and standing devices. Its products are","1,388",$501.12 million,1,1.72
87,Julius-Maximilians-Universität Würzburg,"Julius-Maximilians-Universität Würzburg is located in Würzburg, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Julius-Maximilians-Universität Würzburg has       50 employees at this location and generates $6.04 million in sales (USD). (Sales figure is estimated). There are       17 companies in the Julius-Maximilians-Universität Würzburg corporate family.",50,$6.04 million,1,2.23
89,Targomo GmbH,"Targomo GmbH is located in Potsdam, Brandenburg, Germany and is part of the Computer Systems Design and Related Services Industry. Targomo GmbH generates $109,975 in sales (USD).  ",,"$109,975",4,2.35
90,Universität Stuttgart,"Universität Stuttgart is located in Stuttgart, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Universität Stuttgart has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are       71 companies in the Universität Stuttgart corporate family.",,$4.77 million,2,2.23
92,ForTISS GmbH,"ForTISS GmbH is located in München, Bayern, Germany and is part of the Scientific Research and Development Services Industry. ForTISS GmbH has      150 employees at this location and generates $2.43 million in sales (USD).  There are       20 companies in the ForTISS GmbH corporate family.",150,$2.43 million,1,2.23
93,datanizing GmbH,"datanizing GmbH is located in Schwarzenbruck, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. datanizing GmbH has        2 total employees across all of its locations and generates $165,225 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$165,225",2,2.35
94,Lindera GmbH,"Lindera GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Lindera GmbH has       18 employees at this location and generates $649,098 in sales (USD). (Sales figure is estimated). There are        2 companies in the Lindera GmbH corporate family.",18,"$649,098",2,2.35
95,Technische Universität Ilmenau,"Technische Universität Ilmenau is located in Ilmenau, Thüringen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Technische Universität Ilmenau has    1,465 employees at this location and generates $139.70 million in sales (USD). (Sales figure is modelled). There are       12 companies in the Technische Universität Ilmenau corporate family.","1,465",$139.70 million,2,2.23
100,Stadtwerke München GmbH,"Stadtwerke München GmbH is located in München, Bayern, Germany and is part of the Electric Power Generation, Transmission and Distribution Industry. Stadtwerke München GmbH has   10,459 total employees across all of its locations and generates $9.09 billion in sales (USD).  There are    5,571 companies in the Stadtwerke München GmbH corporate family.","8,346",$9.09 billion,3,2.65
103,SENSAPE GmbH,"SENSAPE GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. SENSAPE GmbH has       16 employees at this location and generates $826,125 in sales (USD). (Sales figure is estimated). ",16,"$826,125",2,2.35
104,AI4BD Deutschland GmbH,"AI4BD Deutschland GmbH is located in Furtwangen im Schwarzwald, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. AI4BD Deutschland GmbH has       33 employees at this location and generates $767,116 in sales (USD). (Sales figure is estimated). There are        3 companies in the AI4BD Deutschland GmbH corporate family.",33,"$767,116",,
106,German Auto Labs GAL GmbH,"German Auto Labs GAL GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. German Auto Labs GAL GmbH has       41 employees at this location and generates $413,063 in sales (USD). (Sales figure is estimated). ",41,"$413,063",3,2.35
107,Cognigy GmbH,"Cognigy GmbH is located in Düsseldorf, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. Cognigy GmbH has        5 total employees across all of its locations and generates $802,522 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the Cognigy GmbH corporate family.",,"$802,522",1,2.35
108,Taxy.io GmbH,"Taxy.io GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. Taxy.io GmbH has        4 total employees across all of its locations and generates $471,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$471,000",2,2.35
109,Nordzucker AG,"
   Sweet! Nordzucker (""north sugar"") is Germany's second-largest sugar refiner (behind Südzucker, or ""south sugar."") It produces about 1.6 million tons of sugar a year made from beets (as opposed to sugarcane) at its 15 plants in Germany and Eastern Europe. Through its sugar-marketing joint venture, Eurosugar, about 80% of the company's sugar is sold to the European food industry. About 15% is sold under the SweetFamily brand, and the remaining by-product",,$1.59 billion,3,2.79
114,Delicious Data GmbH,"Delicious Data GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry.  There are        2 companies in the Delicious Data GmbH corporate family.",,,,
115,Rhebo GmbH,"Rhebo GmbH is located in Leipzig, Sachsen, Germany and is part of the Miscellaneous Durable Goods Merchant Wholesalers Industry. Rhebo GmbH has       24 employees at this location and generates $630,829 in sales (USD). (Sales figure is estimated). There are       66 companies in the Rhebo GmbH corporate family.",24,"$630,829",1,2.23
116,HafenCity Universität Hamburg,"HafenCity Universität Hamburg is located in Hamburg, Hamburg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. HafenCity Universität Hamburg has        4 total employees across all of its locations and generates $139,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$139,000",1,2.23
117,FORCAM GmbH,"FORCAM GmbH is located in Ravensburg, Baden-Württemberg, Germany and is part of the Computer and Peripheral Equipment Manufacturing Industry. FORCAM GmbH has       99 employees at this location and generates $14.27 million in sales (USD). (Sales figure is estimated). There are       50 companies in the FORCAM GmbH corporate family.",99,$14.27 million,2,2.35
118,IDA Indoor Advertising GmbH,"IDA Indoor Advertising GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. IDA Indoor Advertising GmbH has       14 employees at this location and generates $1.69 million in sales (USD). (Sales figure is estimated). ",14,$1.69 million,3,2.35
119,CIB software GmbH,"CIB software GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. CIB software GmbH has       56 employees at this location and generates $6.71 million in sales (USD). (Sales figure is estimated). There are        6 companies in the CIB software GmbH corporate family.",56,$6.71 million,1,2.35
120,100 Worte Sprachanalyse GmbH,"100 Worte Sprachanalyse GmbH is located in Heilbronn, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. 100 Worte Sprachanalyse GmbH has       15 employees at this location and generates $148,608 in sales (USD). (Sales figure is estimated). ",15,"$148,608",2,2.35
121,Cargonexx GmbH,"Cargonexx GmbH is located in Hamburg, Hamburg, Germany and is part of the Freight Transportation Arrangement Industry. Cargonexx GmbH has       54 employees at this location and generates $7.39 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Cargonexx GmbH corporate family.",54,$7.39 million,2,2.72
122,DABBEL - Automation Intelligence GmbH,"DABBEL - Automation Intelligence GmbH is located in Düsseldorf, Nordrhein-Westfalen, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. DABBEL - Automation Intelligence GmbH has        4 total employees across all of its locations and generates $564,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$564,000",1,2.48
123,Energy Robotics GmbH,"Energy Robotics GmbH is located in Darmstadt, Hessen, Germany and is part of the Scientific Research and Development Services Industry. Energy Robotics GmbH has       16 employees at this location and generates $1.86 million in sales (USD). (Sales figure is modelled). ",16,$1.86 million,3,2.23
124,items GmbH,"items GmbH is located in Münster, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. items GmbH has      152 employees at this location and generates $50.38 million in sales (USD).  There are        6 companies in the items GmbH corporate family.",152,$50.38 million,1,2.35
125,EnergyCortex GmbH,"EnergyCortex GmbH is located in Aachen, Nordrhein-Westfalen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. EnergyCortex GmbH has        3 total employees across all of its locations and generates $193,107 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the EnergyCortex GmbH corporate family.",,"$193,107",3,2.23
126,Twenty Billion Neurons GmbH,"Twenty Billion Neurons GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. Twenty Billion Neurons GmbH has       10 employees at this location and generates $1.35 million in sales (USD). (Sales figure is estimated). ",10,$1.35 million,1,2.35
127,goedle.io GmbH,"goedle.io GmbH is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. goedle.io GmbH has        2 total employees across all of its locations and generates $265,540 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$265,540",5,2.35
128,Otto-von-Guericke-Universität Magdeburg,"Otto-von-Guericke-Universität Magdeburg is located in Magdeburg, Sachsen-Anhalt, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Otto-von-Guericke-Universität Magdeburg has    2,013 employees at this location and generates $191.95 million in sales (USD). (Sales figure is modelled). There are       16 companies in the Otto-von-Guericke-Universität Magdeburg corporate family.","2,013",$191.95 million,3,2.23
132,IDnow GmbH,"IDnow GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. IDnow GmbH has      168 employees at this location and generates $932,341 in sales (USD). (Sales figure is estimated). There are        5 companies in the IDnow GmbH corporate family.",168,"$932,341",1,2.35
134,Ettrak GmbH,"Ettrak GmbH is located in Berlin, Berlin, Germany and is part of the Commercial and Industrial Machinery and Equipment Rental and Leasing Industry. Ettrak GmbH has        2 total employees across all of its locations and generates $153,423 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$153,423",3,2.23
135,scalable minds GmbH,"scalable minds GmbH is located in Potsdam, Brandenburg, Germany and is part of the Office Administrative Services Industry. scalable minds GmbH has       14 employees at this location and generates $2.83 million in sales (USD). (Sales figure is modelled). ",14,$2.83 million,2,2.23
136,eoda GmbH,"eoda GmbH is located in Kassel, Hessen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. eoda GmbH has       46 employees at this location and generates $2.96 million in sales (USD). (Sales figure is modelled). There are       53 companies in the eoda GmbH corporate family.",46,$2.96 million,1,2.23
