,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
2,Pair Finance GmbH,"Pair Finance GmbH is located in Berlin, Berlin, Germany and is part of the Business Support Services Industry. Pair Finance GmbH has       52 employees at this location and generates $489,774 in sales (USD). (Sales figure is estimated). There are       17 companies in the Pair Finance GmbH corporate family.",52,"$489,774",1,2.73
7,Premium AEROTEC GmbH,"Premium AEROTEC GmbH is located in Augsburg, Bayern, Germany and is part of the Aerospace Product and Parts Manufacturing Industry. Premium AEROTEC GmbH has    8,273 employees at this location and generates $1.70 billion in sales (USD).  There are      418 companies in the Premium AEROTEC GmbH corporate family.","8,273",$1.70 billion,2,2.48
17,QuizCo GmbH,"QuizCo GmbH is located in Dortmund, Nordrhein-Westfalen, Germany and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. QuizCo GmbH has        7 employees at this location and generates $1.59 million in sales (USD). (Sales figure is modelled). ",7,$1.59 million,3,2.23
6,Raylytic GmbH,"Raylytic GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Raylytic GmbH has       39 employees at this location and generates $300,946 in sales (USD). (Sales figure is estimated). ",39,"$300,946",1,2.35
13,Seerene GmbH,"Seerene GmbH is located in Potsdam, Brandenburg, Germany and is part of the Computer Systems Design and Related Services Industry. Seerene GmbH has       60 employees at this location and generates $778,469 in sales (USD).  There are        2 companies in the Seerene GmbH corporate family.",60,"$778,469",3,2.35
27,Simi Reality Motion Systems GmbH,"Simi Reality Motion Systems GmbH is located in Unterschleißheim, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Simi Reality Motion Systems GmbH has       33 employees at this location and generates $2.23 million in sales (USD). (Sales figure is estimated). ",33,$2.23 million,1,2.35
3,Solvemate GmbH,"Solvemate GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Solvemate GmbH has       26 employees at this location and generates $1.81 million in sales (USD). (Sales figure is estimated). ",26,$1.81 million,2,2.35
9,Tenzir GmbH,"Tenzir GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. Tenzir GmbH generates $632,505 in sales (USD).  There are        2 companies in the Tenzir GmbH corporate family.",,"$632,505",2,2.35
29,UnternehmerTUM GmbH,"UnternehmerTUM GmbH is located in Garching b. München, Bayern, Germany and is part of the Vocational Rehabilitation Services Industry. UnternehmerTUM GmbH has      132 employees at this location and generates $14.65 million in sales (USD).  There are        7 companies in the UnternehmerTUM GmbH corporate family.",132,$14.65 million,1,2.23
25,Zeitgold GmbH,"Zeitgold GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Zeitgold GmbH has       61 employees at this location and generates $10.62 million in sales (USD). (Sales figure is estimated). There are        3 companies in the Zeitgold GmbH corporate family.",61,$10.62 million,3,2.35
