,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
132,binder introbest GmbH & Co. KG,"binder introbest GmbH & Co. KG is located in Fellbach, Baden-Württemberg, Germany and is part of the Semiconductor and Other Electronic Component Manufacturing Industry. binder introbest GmbH & Co. KG has       19 employees at this location and generates $2.66 million in sales (USD). (Sales figure is estimated). There are        9 companies in the binder introbest GmbH & Co. KG corporate family.",19,$2.66 million,1,2.35
80,BirdieMatch Beteiligungs GbR,"BirdieMatch Beteiligungs GbR is located in Hamburg, Hamburg, Germany and is part of the Business Support Services Industry. BirdieMatch Beteiligungs GbR has        2 total employees across all of its locations and generates $106,216 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$106,216",3,2.23
34,Borderstep Institut für Innovation und Nachhaltigkeit gemeinnützige GmbH,"Borderstep Institut für Innovation und Nachhaltigkeit gemeinnützige GmbH is located in Berlin, Berlin, Germany and is part of the Scientific Research and Development Services Industry. Borderstep Institut für Innovation und Nachhaltigkeit gemeinnützige GmbH has       20 employees at this location and generates $749,414 in sales (USD). (Sales figure is estimated). ",20,"$749,414",2,2.23
17,Breeze Technologies UG (haftungsbeschränkt),"Breeze Technologies UG (haftungsbeschränkt) is located in Hamburg, Hamburg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Breeze Technologies UG (haftungsbeschränkt) has        5 employees at this location and generates $643,198 in sales (USD). (Sales figure is estimated). ",5,"$643,198",3,2.23
108,BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg,"BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg is located in Reutlingen, Baden-Württemberg, Germany and is part of the Individual and Family Services Industry. BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg has    5,000 employees at this location and generates $77.98 million in sales (USD). (Sales figure is estimated). There are       53 companies in the BruderhausDiakonie Stiftung Gustav Werner und Haus am Berg corporate family.","5,000",$77.98 million,2,2.23
75,BSH Hausgeräte GmbH,"Cooking and cleaning can be a chore, but BSH Hausgeräte is there to help. A primary subsidiary of Robert Bosch GmbH, BSH is Europe's largest home appliance manufacturer. BSH's large appliances include dishwashers, ovens, microwaves, washers and dryers, refrigerators, freezers, and vacuum cleaners. It also makes such small consumer products as coffeemakers, as well as motors and pumps. The company's global brands are Bosch, Siemens, Gaggenau, and Neff,",,$14.16 billion,1,2.23
72,BTC Business Technology Consulting AG,"BTC Business Technology Consulting AG is located in Oldenburg, Niedersachsen, Germany and is part of the Computer Systems Design and Related Services Industry. BTC Business Technology Consulting AG has      862 employees at this location and generates $166.12 million in sales (USD).  There are      156 companies in the BTC Business Technology Consulting AG corporate family.",862,$166.12 million,1,2.35
14,BUILD.ING Consultants + Innovators GmbH,"BUILD.ING Consultants + Innovators GmbH is located in Nürnberg, Bayern, Germany and is part of the Architectural, Engineering, and Related Services Industry. BUILD.ING Consultants + Innovators GmbH has       18 employees at this location and generates $135,721 in sales (USD). (Sales figure is estimated). ",18,"$135,721",1,2.23
51,Building Radar GmbH,"Building Radar GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Building Radar GmbH has       37 employees at this location and generates $418,964 in sales (USD). (Sales figure is estimated). ",37,"$418,964",1,2.35
57,Catana GmbH,"Catana GmbH is located in Schechen, Bayern, Germany and is part of the Restaurants and Other Eating Places Industry. Catana GmbH has        5 employees at this location and generates $489,774 in sales (USD). (Sales figure is estimated). ",5,"$489,774",2,2.79
20,Centogene GmbH,"Centogene GmbH is located in Rostock, Mecklenburg-Vorpommern, Germany and is part of the Medical and Diagnostic Laboratories Industry. Centogene GmbH has      300 employees at this location and generates $44.22 million in sales (USD).  There are        8 companies in the Centogene GmbH corporate family.",300,$44.22 million,2,1.72
110,CertaintyLab UG (haftungsbeschränkt),"CertaintyLab UG (haftungsbeschränkt) is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. CertaintyLab UG (haftungsbeschränkt) has        3 total employees across all of its locations and generates $312,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$312,000",3,2.35
35,Charité - Universitätsmedizin Berlin,"Charité - Universitätsmedizin Berlin is located in Berlin, Berlin, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Charité - Universitätsmedizin Berlin has   15,500 total employees across all of its locations and generates $1.56 billion in sales (USD).  There are       20 companies in the Charité - Universitätsmedizin Berlin corporate family.","12,738",$1.56 billion,2,2.23
25,Christian-Albrechts-Universität zu Kiel,"Christian-Albrechts-Universität zu Kiel is located in Kiel, Schleswig-Holstein, Germany and is part of the Colleges, Universities, and Professional Schools Industry.  There are       43 companies in the Christian-Albrechts-Universität zu Kiel corporate family.",,,2,2.23
33,Circular Economy Solutions GmbH,"Circular Economy Solutions GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Waste Collection Industry. Circular Economy Solutions GmbH has       23 employees at this location and generates $2.27 million in sales (USD). (Sales figure is estimated). There are    1,773 companies in the Circular Economy Solutions GmbH corporate family.",23,$2.27 million,3,2.72
18,coraixx GmbH & Co. KGaA,"coraixx GmbH & Co. KGaA is located in Dresden, Sachsen, Germany and is part of the Software Publishers Industry. coraixx GmbH & Co. KGaA has        4 total employees across all of its locations and generates $475,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$475,000",2,2.35
123,DCI Digital Career Institute Service GmbH,"DCI Digital Career Institute Service GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. DCI Digital Career Institute Service GmbH has        1 employees at this location and generates $68,606 in sales (USD). (Sales figure is modelled). There are        6 companies in the DCI Digital Career Institute Service GmbH corporate family.",1,"$68,606",2,2.35
58,Deckard.Al GmbH,"Deckard.Al GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Deckard.Al GmbH has        2 total employees across all of its locations and generates $118,018 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",2,"$118,018",3,2.35
11,Deutsche Welthungerhilfe e.V.,"Deutsche Welthungerhilfe e.V. is located in Bonn, Nordrhein-Westfalen, Germany and is part of the Civic and Social Organizations Industry. Deutsche Welthungerhilfe e.V. has       51 total employees across all of its locations and generates $189.65 million in sales (USD). (Employees figure is modelled). There are        2 companies in the Deutsche Welthungerhilfe e.V. corporate family.",,$189.65 million,1,2.23
13,Deutscher Wetterdienst,"Deutscher Wetterdienst is located in Offenbach am Main, Hessen, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. Deutscher Wetterdienst has       11 total employees across all of its locations and generates $85.66 million in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are    7,418 companies in the Deutscher Wetterdienst corporate family.",,$85.66 million,3,2.23
23,Deutsches Forschungszentrum für Künstliche Intelligenz GmbH,"Deutsches Forschungszentrum für Künstliche Intelligenz GmbH is located in Kaiserslautern, Rheinland-Pfalz, Germany and is part of the Scientific Research and Development Services Industry. Deutsches Forschungszentrum für Künstliche Intelligenz GmbH has      603 employees at this location and generates $39.56 million in sales (USD).  There are        7 companies in the Deutsches Forschungszentrum für Künstliche Intelligenz GmbH corporate family.",603,$39.56 million,1,2.23
70,Deutsches Forschungszentrum für Künstliche Intelligenz GmbH,"Deutsches Forschungszentrum für Künstliche Intelligenz GmbH is located in Saarbrücken, Saarland, Germany and is part of the Scientific Research and Development Services Industry.  There are        7 companies in the Deutsches Forschungszentrum für Künstliche Intelligenz GmbH corporate family.",,,1,2.23
87,Deutsches Forschungszentrum für Künstliche Intelligenz GmbH,"Deutsches Forschungszentrum für Künstliche Intelligenz GmbH is located in Kaiserslautern, Rheinland-Pfalz, Germany and is part of the Scientific Research and Development Services Industry. Deutsches Forschungszentrum für Künstliche Intelligenz GmbH has      603 employees at this location and generates $39.56 million in sales (USD).  There are        7 companies in the Deutsches Forschungszentrum für Künstliche Intelligenz GmbH corporate family.",603,$39.56 million,1,2.23
131,Deutsches Forschungszentrum für Künstliche Intelligenz GmbH,"Deutsches Forschungszentrum für Künstliche Intelligenz GmbH is located in Berlin, Berlin, Germany and is part of the Scientific Research and Development Services Industry. Deutsches Forschungszentrum für Künstliche Intelligenz GmbH has       13 employees at this location.  There are        7 companies in the Deutsches Forschungszentrum für Künstliche Intelligenz GmbH corporate family.",13,,1,2.23
53,Deutsches Krebsforschungszentrum,"Deutsches Krebsforschungszentrum is located in Heidelberg, Baden-Württemberg, Germany and is part of the Scientific Research and Development Services Industry. Deutsches Krebsforschungszentrum has    1,700 employees at this location and generates $131.98 million in sales (USD). (Sales figure is modelled). There are        6 companies in the Deutsches Krebsforschungszentrum corporate family.","1,700",$131.98 million,1,2.23
81,Deutsches Zentrum für Luft- und Raumfahrt e.V.,"Deutsches Zentrum für Luft- und Raumfahrt e.V. is located in Köln, Nordrhein-Westfalen, Germany and is part of the Space Research and Technology Industry. Deutsches Zentrum für Luft- und Raumfahrt e.V. has    4,477 employees at this location and generates $540.66 million in sales (USD). (Sales figure is modelled). There are       66 companies in the Deutsches Zentrum für Luft- und Raumfahrt e.V. corporate family.","4,477",$540.66 million,,
129,Deutsches Zentrum für Luft- und Raumfahrt e.V.,"Deutsches Zentrum für Luft- und Raumfahrt e.V. is located in Köln, Nordrhein-Westfalen, Germany and is part of the Space Research and Technology Industry. Deutsches Zentrum für Luft- und Raumfahrt e.V. has    4,477 employees at this location and generates $540.66 million in sales (USD). (Sales figure is modelled). There are       66 companies in the Deutsches Zentrum für Luft- und Raumfahrt e.V. corporate family.","4,477",$540.66 million,,
7,DITF Deutsche Initiative für transparente Finanzberatung GmbH,"DITF Deutsche Initiative für transparente Finanzberatung GmbH is located in Hamburg, Hamburg, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. DITF Deutsche Initiative für transparente Finanzberatung GmbH has        5 total employees across all of its locations and generates $153,423 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        3 companies in the DITF Deutsche",,"$153,423",3,2.23
128,DOCYET GmbH,"DOCYET GmbH is located in Leipzig, Sachsen, Germany and is part of the Computer Systems Design and Related Services Industry. DOCYET GmbH has        5 total employees across all of its locations and generates $389,459 in sales (USD). (Employees figure is modelled, Sales figure is estimated). ",5,"$389,459",3,2.35
73,eco Verband der Internetwirtschaft e.V.,"eco Verband der Internetwirtschaft e.V. is located in Köln, Nordrhein-Westfalen, Germany and is part of the Civic and Social Organizations Industry. eco Verband der Internetwirtschaft e.V. has       50 total employees across all of its locations and generates $2.68 million in sales (USD). (Employees and Sales figures are modelled). There are        8 companies in the eco Verband der Internetwirtschaft e.V. corporate family.",,$2.68 million,3,2.23
65,excentos Software GmbH,"excentos Software GmbH is located in Potsdam, Brandenburg, Germany and is part of the Computer Systems Design and Related Services Industry. excentos Software GmbH has       20 employees at this location and generates $389,459 in sales (USD). (Sales figure is estimated). ",20,"$389,459",2,2.35
60,EyeEm Group GmbH,"EyeEm Group GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. EyeEm Group GmbH has       30 total employees across all of its locations and generates $3.80 million in sales (USD). (Employees and Sales figures are modelled). There are        4 companies in the EyeEm Group GmbH corporate family.",,$3.80 million,3,2.35
32,Förderkreis für die Hochschule Kempten e.V.,"Förderkreis für die Hochschule Kempten e.V. is located in Kempten (Allgäu), Bayern, Germany and is part of the Civic and Social Organizations Industry. Förderkreis für die Hochschule Kempten e.V. has        5 total employees across all of its locations and generates $196,000 in sales (USD). (Employees and Sales figures are modelled). ",5,"$196,000",2,2.23
133,Förderkreis Wagenbauschule / Department Fahrzeugtechnik und Flugzeugbau der Hochschule für Angewandte Wissenschaften Hamburg e.V.,"Förderkreis Wagenbauschule / Department Fahrzeugtechnik und Flugzeugbau der Hochschule für Angewandte Wissenschaften Hamburg e.V. is located in Hamburg, Hamburg, Germany and is part of the Civic and Social Organizations Industry. Förderkreis Wagenbauschule / Department Fahrzeugtechnik und Flugzeugbau der Hochschule für Angewandte Wissenschaften Hamburg e.V. has        3 total employees across all of its locations and generates $143,000 in sales (USD).",3,"$143,000",,
113,Fachhochschule Trier Standort Birkenfeld,"Fachhochschule Trier Standort Birkenfeld is located in Hoppstädten-Weiersbach, Rheinland-Pfalz, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Fachhochschule Trier Standort Birkenfeld has        5 total employees across all of its locations and generates $157,000 in sales (USD). (Employees and Sales figures are modelled). ",5,"$157,000",1,2.23
85,fedger.io UG (haftungsbeschränkt),"fedger.io UG (haftungsbeschränkt) is located in Köln, Nordrhein-Westfalen, Germany and is part of the Computer Systems Design and Related Services Industry. fedger.io UG (haftungsbeschränkt) has        3 total employees across all of its locations and generates $75,387 in sales (USD). (Employees figure is modelled). ",3,"$75,387",,
69,Frankfurter Allgemeine Zeitung Gesellschaft mit beschränkter Haftung,"Frankfurter Allgemeine Zeitung Gesellschaft mit beschränkter Haftung is located in Frankfurt am Main, Hessen, Germany and is part of the Newspaper, Periodical, Book, and Directory Publishers Industry. Frankfurter Allgemeine Zeitung Gesellschaft mit beschränkter Haftung has      748 employees at this location and generates $259.02 million in sales (USD).  There are       63 companies in the Frankfurter Allgemeine Zeitung Gesellschaft mit beschränkter",748,$259.02 million,3,2.23
102,Fraugster Services GmbH,"Fraugster Services GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Fraugster Services GmbH has       75 employees at this location and generates $4.00 million in sales (USD). (Sales figure is modelled). ",75,$4.00 million,2,2.35
36,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung eingetragener Verein,"Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung eingetragener Verein is located in München, Bayern, Germany and is part of the Civic and Social Organizations Industry. Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung eingetragener Verein has   28,000 employees at this location and generates $2.99 billion in sales (USD).  There are      210 companies in the Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung","28,000",$2.99 billion,3,2.23
130,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung eingetragener Verein,"Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung eingetragener Verein is located in Bremen, Bremen, Germany and is part of the Scientific Research and Development Services Industry.  There are      210 companies in the Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung eingetragener Verein corporate family.",,,3,2.23
2,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Friedrich-Alexander-Universität Erlangen-Nürnberg is located in Erlangen, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Friedrich-Alexander-Universität Erlangen-Nürnberg has    6,400 employees at this location and generates $610.28 million in sales (USD). (Sales figure is modelled). There are       86 companies in the Friedrich-Alexander-Universität Erlangen-Nürnberg corporate family.","6,400",$610.28 million,1,2.23
112,FSD Fahrzeugsystemdaten GmbH,"FSD Fahrzeugsystemdaten GmbH is located in Dresden, Sachsen, Germany and is part of the Other Support Services Industry. FSD Fahrzeugsystemdaten GmbH has      208 employees at this location and generates $32.64 million in sales (USD).  There are        2 companies in the FSD Fahrzeugsystemdaten GmbH corporate family.",208,$32.64 million,1,2.23
118,FZI Forschungszentrum Informatik am Karlsruher Institut für Technologie Stiftung des bürgerlichen Rechts,"FZI Forschungszentrum Informatik am Karlsruher Institut für Technologie Stiftung des bürgerlichen Rechts is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Scientific Research and Development Services Industry. FZI Forschungszentrum Informatik am Karlsruher Institut für Technologie Stiftung des bürgerlichen Rechts has      100 employees at this location and generates $35.48 million in sales (USD). (Sales figure is estimated). ",100,$35.48 million,1,2.23
101,Gesellschaft zur Förderung des Helmholtz-Zentrums Geesthacht e.V.,"Gesellschaft zur Förderung des Helmholtz-Zentrums Geesthacht e.V. is located in Geesthacht, Schleswig-Holstein, Germany and is part of the Business, Professional, Labor, Political, and Similar Organizations Industry. Gesellschaft zur Förderung des Helmholtz-Zentrums Geesthacht e.V. has        5 total employees across all of its locations and generates $196,000 in sales (USD). (Employees and Sales figures are modelled). ",5,"$196,000",,
61,Gottfried Wilhelm Leibniz Universität Hannover,"Gottfried Wilhelm Leibniz Universität Hannover is located in Hannover, Niedersachsen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Gottfried Wilhelm Leibniz Universität Hannover has    4,948 employees at this location and generates $683.43 million in sales (USD). (Sales figure is estimated). There are       80 companies in the Gottfried Wilhelm Leibniz Universität Hannover corporate family.","4,948",$683.43 million,1,2.23
27,Govii UG (haftungsbeschränkt),"Govii UG (haftungsbeschränkt) is located in Halle (Saale), Sachsen-Anhalt, Germany and is part of the Software Publishers Industry. Govii UG (haftungsbeschränkt) has        3 total employees across all of its locations and generates $118,018 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        5 companies in the Govii UG (haftungsbeschränkt) corporate family.",3,"$118,018",3,2.35
78,Hamburger Hafen und Logistik Aktiengesellschaft,"
   Hamburger Hafen und Logistik (HHLA) is the Port of Hamburg's helper. The company provides a variety of services and multimodal logistics solutions to the port, the fastest-growing major container port in northern Europe. HHLA is structured into four segments, each run by numerous subsidiaries. The units include: a container terminal unit (responsible for the majority of sales); its intermodal division; the logistics segment (consisting of eight","1,542",$1.54 billion,2,2.73
43,Hamburger Informatik Technologie-Center (HITeC) e.V.,"Hamburger Informatik Technologie-Center (HITeC) e.V. is located in Hamburg, Hamburg, Germany and is part of the Scientific Research and Development Services Industry. Hamburger Informatik Technologie-Center (HITeC) e.V. has        4 total employees across all of its locations and generates $208,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$208,000",,
116,Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt (GmbH),"Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt (GmbH) is located in Oberschleißheim, Bayern, Germany and is part of the Scientific Research and Development Services Industry. Helmholtz Zentrum München Deutsches Forschungszentrum für Gesundheit und Umwelt (GmbH) has    2,234 employees at this location and generates $377.28 million in sales (USD).  There are    7,418 companies in the Helmholtz Zentrum München Deutsches","2,234",$377.28 million,1,2.23
56,Helmholtz-Zentrum Dresden - Rossendorf e. V.,"Helmholtz-Zentrum Dresden - Rossendorf e. V. is located in Dresden, Sachsen, Germany and is part of the Scientific Research and Development Services Industry. Helmholtz-Zentrum Dresden - Rossendorf e. V. has        4 total employees across all of its locations and generates $310,536 in sales (USD). (Employees and Sales figures are modelled). There are        3 companies in the Helmholtz-Zentrum Dresden - Rossendorf e. V. corporate family.",,"$310,536",2,2.23
31,Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,"Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg is located in Hamburg, Hamburg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg has      894 employees at this location and generates $85.25 million in sales (USD). (Sales figure is modelled). There are    7,418 companies in the Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg",894,$85.25 million,1,2.23
114,Hentschel Systemgesellschaft mit beschränkter Haftung,"Hentschel Systemgesellschaft mit beschränkter Haftung is located in Hannover, Niedersachsen, Germany and is part of the Navigational, Measuring, Electromedical, and Control Instruments Manufacturing Industry. Hentschel Systemgesellschaft mit beschränkter Haftung has       10 employees at this location and generates $2.87 million in sales (USD). (Sales figure is estimated). ",10,$2.87 million,1,2.48
5,Hochschule Aalen - Technik und Wirtschaft,"Hochschule Aalen - Technik und Wirtschaft is located in Aalen, Baden-Württemberg, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Hochschule Aalen - Technik und Wirtschaft has      450 employees at this location and generates $4.00 million in sales (USD). (Sales figure is modelled). ",450,$4.00 million,1,2.23
89,"Hochschule Harz, Hochschule für angewandte Wissenschaften","Hochschule Harz, Hochschule für angewandte Wissenschaften is located in Wernigerode, Sachsen-Anhalt, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Hochschule Harz, Hochschule für angewandte Wissenschaften has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are        3 companies in the Hochschule Harz, Hochschule",,$4.77 million,1,2.23
30,"Hochschule Mittweida, University of Applied Sciences","Hochschule Mittweida, University of Applied Sciences is located in Mittweida, Sachsen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Hochschule Mittweida, University of Applied Sciences has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the Hochschule Mittweida, University of Applied",,$4.77 million,1,2.23
52,HTW Saar Motorsport e.V.,"HTW Saar Motorsport e.V. is located in Saarbrücken, Saarland, Germany and is part of the Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures Industry. HTW Saar Motorsport e.V. has        4 total employees across all of its locations and generates $178,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$178,000",2,2.23
77,i3s AG,"i3s AG is located in Ammerbuch, Baden-Württemberg, Germany and is part of the Other Financial Investment Activities Industry. i3s AG has        4 total employees across all of its locations and generates $269,000 in sales (USD). (Employees and Sales figures are modelled). ",4,"$269,000",3,2.73
84,IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH),"IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH) is located in Ilmenau, Thüringen, Germany and is part of the Scientific Research and Development Services Industry. IMMS Institut für Mikroelektronik- und Mechatronik-Systeme gemeinnützige GmbH (IMMS GmbH) has       60 employees at this location and generates $6.93 million in sales (USD).  There are      924 companies in the IMMS Institut für Mikroelektronik-",60,$6.93 million,1,2.23
0,Informatics For Life,"Informatics For Life is located in Toronto, ON, Canada.
 ",,,,
54,Insius UG (haftungsbeschränkt),"Insius UG (haftungsbeschränkt) is located in Köln, Nordrhein-Westfalen, Germany and is part of the Scientific Research and Development Services Industry. Insius UG (haftungsbeschränkt) has        6 employees at this location and generates $354,054 in sales (USD). (Sales figure is estimated). ",6,"$354,054",3,2.23
97,Institut für Angewandte Informatik (InfAI) e.V.,"Institut für Angewandte Informatik (InfAI) e.V. is located in Leipzig, Sachsen, Germany and is part of the Scientific Research and Development Services Industry. Institut für Angewandte Informatik (InfAI) e.V. has       48 employees at this location and generates $6.81 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Institut für Angewandte Informatik (InfAI) e.V. corporate family.",48,$6.81 million,,
3,Institut für Zuckerrübenforschung,"Institut für Zuckerrübenforschung is located in Göttingen, Niedersachsen, Germany and is part of the Scientific Research and Development Services Industry. Institut für Zuckerrübenforschung has        3 total employees across all of its locations and generates $204,000 in sales (USD). (Employees and Sales figures are modelled). ",3,"$204,000",1,2.23
